1	Riesling	2014	11.7	IMG_20170715_154706.jpg	22	4	1	3	1	Tantalizing, semi-sweet finish with aromas of green apple, ripe peach, and honeydew melon, complimented by a well-balanced and delicate mouth structure.	Chicken or fish
2	Riesling	2014	11.7	IMG_20170715_154707.jpg	22	4	1	3	1	Tantalizing, semi-sweet finish with aromas of green apple, ripe peach, and honeydew melon, complimented by a well-balanced and delicate mouth structure.	Chicken or fish
3	Lyre Wild Ferment Riesling	2013	12.5	IMG_20170715_155249.jpg	20	5	2	1	2	Light medium-bodied with attractive aromas of honeysuckle and lemon-lime, while flavors offer a flinty, lightly crisp peach blossom profile	Grilled shrimp or fish with a squeeze of lemon
4	Special Reserve Cabernet Sauvignon	2014	14.1	IMG_20170715_160915.jpg	48	5	2	2	3	Very elegant and balanced wine made from Napa Valley fruit, with nicely focused black cherry and currant flavors on the palate. Hints of cinnamon, vanilla and mocha give the wine additional complexity and grace. The finish is long and firms up nicely with ripe round tannins that give it a concentrated and well-focused core of fruit. The wine becomes more complex as it slowly opens up.	Steak
5	Bellissimo	2015	13.9	IMG_20170715_160935.jpg	40	5	1	2	1	Bellissimo, Grape Creeks beautiful€ Super Tuscan style red wine, is a captivating blend of Sangiovese, Merlot and Cabernet Sauvignon that exudes cherries, spice, toasted oak and hints of vanilla.	Lamb or steak
6	Peach	NV	null	IMG_20170715_161923.jpg	15	3	3	8	4	Infused with southern hospitality, peach in a bottle	Enjoy chilled, on a porch with friends
9	The Survivor	2014	14.5	IMG_20170715_163023.jpg	40	5	2	2	5	Wonderful color and depth, a gorgeous purity with peppery herbal spiciness and a dazzling finish. Picked from vines planted in 1923, commonly known as Survivor Vines.	Lamb or steak
10	Texas Viognier	2015	13	IMG_20170715_163627.jpg	25	3	4	1	1	Floral and delightful	Chicken or fish
11	Chardonnay	2015	13.8	IMG_20170715_163651.jpg	17	3	5	1	8	Sweet aromas and flavors of pear and stone fruit, framed by notes of toasted oak and caramel. Robust fruit finish.	Grilled chicken or pork
12	Howling Cogs	NV	14.1	IMG_20170715_164921.jpg	40	4	2	2	5	440 bottles made... open... then... drink... ...simple really...	Grilled red meats
13	Claros	2015	13	IMG_20170715_164939.jpg	21	5	2	2	1	Aromas of berries, spice and cocoa. Aged in new and mature French oak barrels it shows complexity on the palate of plum and mature red fruits balanced with subtle tannins, intense blackberry flavors and spice. Acidity is lively offset y ripe fruit characteristics that work to create good harmony leading to a nice smooth medium length.	Winter stews and roasts
15	Cuvee Cuddles	NV	12	IMG_20170715_170357.jpg	24	4	2	6	9	Named for Angela's mom, Lady Mary Downer (aka Cuddles), who is sparkling, lively and effervescent and good on any occasion, just like this wine. Exhibits full flavored body and great length.	Perfect chilled, on its own or with a cheerful meal
16	The Lyre Tempranillo	2013	13.5	IMG_20170715_171941.jpg	24	5	2	2	5	A floral note with a slight perfume of frangipane and a little mint. It's rich bramble berry, violet and red pepper palate is alluring, as is the wonderful rich purple hue. It has long fine soft tannins on the palate balanced with sweet fruit flavors.	Rich veal cutlets or fine medallions of lamb or game
17	Serendipity	2015	14	IMG_20170715_171958.jpg	40	5	1	2	1	The gift of making fortunate discoveries by accident. This is just that. We didn't plan for this wine, it just happened.	Grilled red meats
18	SBR	2013	14.6	IMG_20170715_173231.jpg	45	4	6	2	10	This proprietary blend of Cabernet Sauvignon, Cabernet Franc, and Merlot has red fruit notes with wood and cranberry. The Cabernet Franc gives the wine a beautiful charred campfire wood flavor while the other varietals give hints of baking spice and blackberry. Smooth and even tannins with well integrated barrel notes round out the finish.	Grilled red meats
19	Exclamation Cellar Series	2010	13.5	IMG_20170715_173933.jpg	50	5	7	2	12	Intense, yet elegant with sensations of ripe forest berry, rhubarb and dark cherry, with a waft of cigar intertwined along black pepper spice. The palate brings forth further nuances of dark cocoa, blood plums and a touch of cassis. Silky tannins brought about through maturation in primarily new French oak barrels, round out the palate beautifully onto a long finish.	Grilled red meats, particularly venison, veal or beef steaks
20	Allegria	2011	12.8	IMG_20170715_174018.jpg	22	4	8	1	13	White gold with a faint hue of caper, sweet orchard fruit of white peach and apricot layer with orange bloom. So much excitement on the nose! On the palate the wine is off dry with a balancing acidity and creamy texture. The orchard fruit comes through again but finishes with a quick caress of grapefruit. A great wine to enjoy on the patio or piazza!	Fruiti di mare in a light sauce, pasta primavera, fresh antipasto.
21	Condistat	2010	13.5	IMG_20170715_173255.jpg	64	5	9	2	14	Wine with dense and complex structure with blackberry, black cherry, and paprika.	Grilled red meats
22	Special Reserve Grenache Blanc	2016	14.1	IMG_20170715_181550.jpg	30	4	2	1	15	Our new wine is a dry Rhone style white with a subtle sweet floral nose that is bright and textured and most importantly, deliciously quaffable! It'ss an important varietal in the Rhone Valley in France, but grapes for this wine are from Russian River Valley, Sonoma, in California. Extended skin maceration, malolactic fermentation and a light oak treatment and a rich plump palate make this a must for a summer wine.	Fish or shrimp
23	Chesapeake Icon #1 Rockfish	2014	12	IMG_20170715_181609.jpg	13	3	10	1	16	This mouth watering grape trio has aromas of melon and herbs, a fresh flavor and a crisp finish.	Poultry or Chesapeake bay delicacies such as blue crab, rockfish or flounder
24	Pinot Grigio	2014	11.5	IMG_20170715_181632.jpg	10	3	11	1	17	Light in color and big on flavor, it's a not-too-sweet blend of fruit-forward flavors like green apple and melon, with really nice, yet subtle, minerality. Pop Crush Pinot Grigio is extremely well balanced and boasts an excitingly crisp finish you'll love.	Chicken or fish
25	Bread & Butter Chardonnay	2014	13.5	IMG_20170715_181646.jpg	14	2	12	1	17	Classic, California chardonnay with rich vanilla, toasted oak, and cream.	Perfect when enjoyed chilled and with equally pleasurable foods.
26	Viognier	2014	13.6	IMG_20170715_183043.jpg	27	3	1	1	1	Often called a "a red wine drinker's white wine," Grape Creek's 2014 Viognier is true-to-form and exhibits a delicate balance of wildflowers and honey with rich flavors of peach, apricot and a hint of citrus.	Pair with cheese and fish
27	Cuvee Blanc	2016	13.7	IMG_20170715_183057.jpg	24	3	1	1	1	Grape Creek's Cuvee Blanc is a proprietary white blend we are sure you will find intriguing. This unique wine features aromas of honeysuckle, lemon rind and orange zest with a silky-smooth texture and a tantalizing, crisp finish.	Chicken or fish
28	Viognier	2014	14.8	IMG_20170715_183948.jpg	25	3	13	1	19	Flavors of white peach and honeysuckle with a hint of lime zest. On the palate the wine has a luscious body and finishes with a balanced mouth watering acidity	Enjoy chilled by itself or with fresh fruits, seafood and cheese.
