1	Fredricksburg in the Texas Hill Country	USA	Humid, Subtropical	7
2	Eden Valley	Australia	Cold	3
3	Napa Valley	USA	Warm	7
4	North Carolina	USA	Temperate	7
5	Barossa Valley	Australia	Warm	3
6	Sonoma	USA	Temperate	7
7	Mendocino	USA	Temperate	7
8	North Coast	USA	Mediterranean/ Maritime	7
9	Australia	Australia	Variety	3
10	Paso Robles	USA	Mediterranean	7
11	null	null	null	null
12	Niagara-on-the-Lake	Canada	Cold and temperate	7
13	Niagara Peninsula	Canada	Cold and temperate	7
14	Württemberg	Germany	Oceanic	6
15	Russian River Valley	USA	Maritime	7
16	Linganore	USA	Continental, humid subtropical	7
17	California	USA	Variety	7
18	Lodi	USA	Hot	7
19	American	USA	Variety	7
20	Rias Baixas	Spain	Maritime	6
21	Monterey	USA	Cool	7
22	Coteaux Varois en Provence	France	Cool and temperate	6
23	Lombardia	Italy	Continental, cool	6
24	Douro	Portugal	Harsh and dry	6
25	Columbia Valley	USA	Cool	7
26	Rattlesnake Hills	USA	Cool	7
27	Navarra	Spain	Continental	6
28	Rioja	Spain	Continental	6
29	Terra Alta	Spain	Continental/Mediterranean	6
30	Montsant	Spain	Mediterranean	6
31	Priorat	Spain	Mediterranean	6
32	Valdepeñas	Spain	Extreme continental	6
33	Jumilla	Spain	Continental/Mediterranean	6
34	Ribera del Guadiana	Spain	Continental	6
35	Vinos de Madrid	Spain	Continental	6
36	Ribera del Duero	Spain	Continental	6
37	Firenze	Italy	Warm	6
38	Chianti	Italy	Mild	6
39	Western Australia	Australia	Variety	3
40	Montalcino	Italy	Mild	6
41	Dayton, Oregon	USA	Cold	7
42	Mclaren Vale	Australia	Mediterranean	3
43	Hemel-en-Aarde Valley	South Africa	Cool	2
44	Mendoza	Argentina	Continental	1
45	Willamette Valley	USA	Oceanic	7
46	Margaret River	Australia	Mediterranean	3
47	Piedmont	Italy	Cold, Continental	6
48	Bordeaux 	France	Maritime	6
49	Walla Walla, Washington	USA	Mediterranean	7
50	Tuscany	Italy	Mild	6
