1	Grape Creek Vineyards	Brian Heath	10587 US-290	Fredericksburg	TX	USA	1	78624	30.221148, -98.719778	https://www.grapecreek.com/	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3447.558269194212!2d-98.72197204909982!3d30.22115261706845!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzDCsDEzJzE2LjEiTiA5OMKwNDMnMTEuMiJX!5e0!3m2!1sen!2sus!4v1502039088791
2	Stone House Vineyard	Angela and Howard Moench	24350 Haynie Flat Rd	Spicewood	TX	USA	1	78669	30.436732, -98.065964	https://stonehousevineyard.com/	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3439.9776109056934!2d-98.06815804909608!3d30.43673660679858!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzDCsDI2JzEyLjIiTiA5OMKwMDMnNTcuNSJX!5e0!3m2!1sen!2sus!4v1502039132180
3	Six Waterpots Vineyard and Winery at Sullivan Estate	James Sullivan	4040 James Dr	Hudson	NC	USA	4	28638	35.831496, -81.513319	http://sixwaterpots.com/	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3234.7136668504763!2d-81.51551304899174!3d35.831500329225655!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzXCsDQ5JzUzLjQiTiA4McKwMzAnNDguMCJX!5e0!3m2!1sen!2sus!4v1502039172365
4	Lewis Wines	Doug Lewis and Duncan McNabb	3209 US-290	Johnson City	TX	USA	1	78636	30.277833, -98.411981	http://www.lewiswines.com/	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3445.569759246371!2d-98.41417504909887!3d30.27783761437439!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzDCsDE2JzQwLjIiTiA5OMKwMjQnNDMuMSJX!5e0!3m2!1sen!2sus!4v1502039209514
5	William Hill Estate Winery	William Hill	1761 Atlas Peak Rd	Napa	CA	USA	3	94558	38.355727, -122.270035	https://www.williamhillestate.com/	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3128.708379606503!2d-122.27222904893671!3d38.35573118619436!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzjCsDIxJzIwLjYiTiAxMjLCsDE2JzEyLjEiVw!5e0!3m2!1sen!2sus!4v1502039253979
6	Rotta Winery	Mike Giubbini	250 Winery Rd	Templeton	CA	USA	10	93465	35.555835, -120.748327	http://www.rottawinery.com/	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3245.9134631388547!2d-120.75052104899751!3d35.555839344348584!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzXCsDMzJzIxLjAiTiAxMjDCsDQ0JzU0LjAiVw!5e0!3m2!1sen!2sus!4v1502039297991
7	Pillitteri Estates Winery	Gary and Lena Pillitteri	1696 Niagara Stone Rd	Niagara-on-the-Lake	ON	CA	12	L0S 1J0	43.229335, -79.113765	https://www.pillitteri.com/	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2907.0534550933553!2d-79.11595904881975!3d43.22933888765069!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNDPCsDEzJzQ1LjYiTiA3OcKwMDYnNDkuNiJX!5e0!3m2!1sen!2sus!4v1502039346165
8	Colaneri Estate Winery	Mike Colaneri	348 Concession 6 Rd	Niagara-on-the-Lake	ON	CA	12	L0S 1J0	43.162999, -79.137479	https://www.colaneriwines.com/	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2910.2153843217648!2d-79.13967304882145!3d43.16300289190488!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNDPCsDA5JzQ2LjgiTiA3OcKwMDgnMTQuOSJX!5e0!3m2!1sen!2sus!4v1502039416596
9	Weinfactum	null	Rommelstraße 20	Stuttgart	Baden-Württemberg	Germany	14	70376	48.814915, 9.214692	https://www.weinfactum.de/	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2627.2695344408016!2d9.212497951330564!3d48.814918511618856!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zNDjCsDQ4JzUzLjciTiA5wrAxMic1Mi45IkU!5e0!3m2!1sen!2sus!4v1502039474477
10	Boordy Vineyards	The R.B. Deford Family	12820 Long Green Pike	Hydes	MD 	USA	16	21082	39.477096, -76.483893	http://www.boordy.com/	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3079.655971505572!2d-76.48608704891105!3d39.477100120068826!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMznCsDI4JzM3LjYiTiA3NsKwMjknMDIuMCJX!5e0!3m2!1sen!2sus!4v1502039516597
